datetime_beginning_utc,datetime_beginning_ept,area,hrly_da_demand_bid
1/1/2023 4:00,12/31/2022 23:00,MID_ATLANTIC_REGION,24628
1/1/2023 4:00,12/31/2022 23:00,WESTERN_REGION,37634
1/1/2023 4:00,12/31/2022 23:00,PJM_RTO,72835
1/1/2023 3:00,12/31/2022 22:00,MID_ATLANTIC_REGION,26191
1/1/2023 3:00,12/31/2022 22:00,WESTERN_REGION,39714
1/1/2023 3:00,12/31/2022 22:00,PJM_RTO,76891
1/1/2023 2:00,12/31/2022 21:00,MID_ATLANTIC_REGION,28478
1/1/2023 2:00,12/31/2022 21:00,WESTERN_REGION,40931
1/1/2023 2:00,12/31/2022 21:00,PJM_RTO,80787
1/1/2023 1:00,12/31/2022 20:00,MID_ATLANTIC_REGION,29423
1/1/2023 1:00,12/31/2022 20:00,WESTERN_REGION,41734
1/1/2023 1:00,12/31/2022 20:00,PJM_RTO,82890
1/1/2023 0:00,12/31/2022 19:00,MID_ATLANTIC_REGION,29642
1/1/2023 0:00,12/31/2022 19:00,WESTERN_REGION,42212
1/1/2023 0:00,12/31/2022 19:00,PJM_RTO,83720
12/31/2022 23:00,12/31/2022 18:00,MID_ATLANTIC_REGION,30882
12/31/2022 23:00,12/31/2022 18:00,WESTERN_REGION,42742
12/31/2022 23:00,12/31/2022 18:00,PJM_RTO,85975
12/31/2022 22:00,12/31/2022 17:00,MID_ATLANTIC_REGION,32691
12/31/2022 22:00,12/31/2022 17:00,WESTERN_REGION,42905
12/31/2022 22:00,12/31/2022 17:00,PJM_RTO,88040
12/31/2022 21:00,12/31/2022 16:00,MID_ATLANTIC_REGION,30587
12/31/2022 21:00,12/31/2022 16:00,WESTERN_REGION,40964
12/31/2022 21:00,12/31/2022 16:00,PJM_RTO,83521
12/31/2022 20:00,12/31/2022 15:00,MID_ATLANTIC_REGION,28856
12/31/2022 20:00,12/31/2022 15:00,WESTERN_REGION,39609
12/31/2022 20:00,12/31/2022 15:00,PJM_RTO,80199
12/31/2022 19:00,12/31/2022 14:00,MID_ATLANTIC_REGION,28478
12/31/2022 19:00,12/31/2022 14:00,WESTERN_REGION,39498
12/31/2022 19:00,12/31/2022 14:00,PJM_RTO,79594
12/31/2022 18:00,12/31/2022 13:00,MID_ATLANTIC_REGION,28580
12/31/2022 18:00,12/31/2022 13:00,WESTERN_REGION,40142
12/31/2022 18:00,12/31/2022 13:00,PJM_RTO,80339
12/31/2022 17:00,12/31/2022 12:00,MID_ATLANTIC_REGION,28137
12/31/2022 17:00,12/31/2022 12:00,WESTERN_REGION,40551
12/31/2022 17:00,12/31/2022 12:00,PJM_RTO,80463
12/31/2022 16:00,12/31/2022 11:00,MID_ATLANTIC_REGION,28244
12/31/2022 16:00,12/31/2022 11:00,WESTERN_REGION,41088
12/31/2022 16:00,12/31/2022 11:00,PJM_RTO,81146
12/31/2022 15:00,12/31/2022 10:00,MID_ATLANTIC_REGION,28618
12/31/2022 15:00,12/31/2022 10:00,WESTERN_REGION,41119
12/31/2022 15:00,12/31/2022 10:00,PJM_RTO,81750
12/31/2022 14:00,12/31/2022 9:00,MID_ATLANTIC_REGION,28831
12/31/2022 14:00,12/31/2022 9:00,WESTERN_REGION,41334
12/31/2022 14:00,12/31/2022 9:00,PJM_RTO,82201
12/31/2022 13:00,12/31/2022 8:00,MID_ATLANTIC_REGION,28167
12/31/2022 13:00,12/31/2022 8:00,WESTERN_REGION,40924
12/31/2022 13:00,12/31/2022 8:00,PJM_RTO,80727
12/31/2022 12:00,12/31/2022 7:00,MID_ATLANTIC_REGION,26946
12/31/2022 12:00,12/31/2022 7:00,WESTERN_REGION,39862
12/31/2022 12:00,12/31/2022 7:00,PJM_RTO,78058
12/31/2022 11:00,12/31/2022 6:00,MID_ATLANTIC_REGION,25448
12/31/2022 11:00,12/31/2022 6:00,WESTERN_REGION,38138
12/31/2022 11:00,12/31/2022 6:00,PJM_RTO,74465
12/31/2022 10:00,12/31/2022 5:00,MID_ATLANTIC_REGION,24060
12/31/2022 10:00,12/31/2022 5:00,WESTERN_REGION,37240
12/31/2022 10:00,12/31/2022 5:00,PJM_RTO,71904
12/31/2022 9:00,12/31/2022 4:00,MID_ATLANTIC_REGION,23236
12/31/2022 9:00,12/31/2022 4:00,WESTERN_REGION,36616
12/31/2022 9:00,12/31/2022 4:00,PJM_RTO,70226
12/31/2022 8:00,12/31/2022 3:00,MID_ATLANTIC_REGION,22860
12/31/2022 8:00,12/31/2022 3:00,WESTERN_REGION,36423
12/31/2022 8:00,12/31/2022 3:00,PJM_RTO,69591
12/31/2022 7:00,12/31/2022 2:00,MID_ATLANTIC_REGION,23052
12/31/2022 7:00,12/31/2022 2:00,WESTERN_REGION,36856
12/31/2022 7:00,12/31/2022 2:00,PJM_RTO,70310
12/31/2022 6:00,12/31/2022 1:00,MID_ATLANTIC_REGION,23817
12/31/2022 6:00,12/31/2022 1:00,WESTERN_REGION,37257
12/31/2022 6:00,12/31/2022 1:00,PJM_RTO,71630
12/31/2022 5:00,12/31/2022 0:00,MID_ATLANTIC_REGION,24557
12/31/2022 5:00,12/31/2022 0:00,WESTERN_REGION,37982
12/31/2022 5:00,12/31/2022 0:00,PJM_RTO,73385
12/31/2022 4:00,12/30/2022 23:00,MID_ATLANTIC_REGION,26671
12/31/2022 4:00,12/30/2022 23:00,WESTERN_REGION,40315
12/31/2022 4:00,12/30/2022 23:00,PJM_RTO,78376
12/31/2022 3:00,12/30/2022 22:00,MID_ATLANTIC_REGION,28042
12/31/2022 3:00,12/30/2022 22:00,WESTERN_REGION,41963
12/31/2022 3:00,12/30/2022 22:00,PJM_RTO,81873
12/31/2022 2:00,12/30/2022 21:00,MID_ATLANTIC_REGION,30075
12/31/2022 2:00,12/30/2022 21:00,WESTERN_REGION,43914
12/31/2022 2:00,12/30/2022 21:00,PJM_RTO,86259
12/31/2022 1:00,12/30/2022 20:00,MID_ATLANTIC_REGION,31297
12/31/2022 1:00,12/30/2022 20:00,WESTERN_REGION,44856
12/31/2022 1:00,12/30/2022 20:00,PJM_RTO,88699
12/31/2022 0:00,12/30/2022 19:00,MID_ATLANTIC_REGION,31644
12/31/2022 0:00,12/30/2022 19:00,WESTERN_REGION,45609
12/31/2022 0:00,12/30/2022 19:00,PJM_RTO,89889
12/30/2022 23:00,12/30/2022 18:00,MID_ATLANTIC_REGION,32717
12/30/2022 23:00,12/30/2022 18:00,WESTERN_REGION,46445
12/30/2022 23:00,12/30/2022 18:00,PJM_RTO,92063
12/30/2022 22:00,12/30/2022 17:00,MID_ATLANTIC_REGION,33377
12/30/2022 22:00,12/30/2022 17:00,WESTERN_REGION,46758
12/30/2022 22:00,12/30/2022 17:00,PJM_RTO,93196
12/30/2022 21:00,12/30/2022 16:00,MID_ATLANTIC_REGION,30788
12/30/2022 21:00,12/30/2022 16:00,WESTERN_REGION,44541
12/30/2022 21:00,12/30/2022 16:00,PJM_RTO,87584
12/30/2022 20:00,12/30/2022 15:00,MID_ATLANTIC_REGION,28850
12/30/2022 20:00,12/30/2022 15:00,WESTERN_REGION,44317
12/30/2022 20:00,12/30/2022 15:00,PJM_RTO,85001
12/30/2022 19:00,12/30/2022 14:00,MID_ATLANTIC_REGION,27944
12/30/2022 19:00,12/30/2022 14:00,WESTERN_REGION,44249
12/30/2022 19:00,12/30/2022 14:00,PJM_RTO,83811
12/30/2022 18:00,12/30/2022 13:00,MID_ATLANTIC_REGION,28100
12/30/2022 18:00,12/30/2022 13:00,WESTERN_REGION,44820
12/30/2022 18:00,12/30/2022 13:00,PJM_RTO,84605
12/30/2022 17:00,12/30/2022 12:00,MID_ATLANTIC_REGION,28406
12/30/2022 17:00,12/30/2022 12:00,WESTERN_REGION,45074
12/30/2022 17:00,12/30/2022 12:00,PJM_RTO,85383
12/30/2022 16:00,12/30/2022 11:00,MID_ATLANTIC_REGION,29110
12/30/2022 16:00,12/30/2022 11:00,WESTERN_REGION,45844
12/30/2022 16:00,12/30/2022 11:00,PJM_RTO,87247
12/30/2022 15:00,12/30/2022 10:00,MID_ATLANTIC_REGION,30281
12/30/2022 15:00,12/30/2022 10:00,WESTERN_REGION,46504
12/30/2022 15:00,12/30/2022 10:00,PJM_RTO,89623
12/30/2022 14:00,12/30/2022 9:00,MID_ATLANTIC_REGION,31160
12/30/2022 14:00,12/30/2022 9:00,WESTERN_REGION,46685
12/30/2022 14:00,12/30/2022 9:00,PJM_RTO,91535
12/30/2022 13:00,12/30/2022 8:00,MID_ATLANTIC_REGION,31908
12/30/2022 13:00,12/30/2022 8:00,WESTERN_REGION,46539
12/30/2022 13:00,12/30/2022 8:00,PJM_RTO,92993
12/30/2022 12:00,12/30/2022 7:00,MID_ATLANTIC_REGION,32724
12/30/2022 12:00,12/30/2022 7:00,WESTERN_REGION,45704
12/30/2022 12:00,12/30/2022 7:00,PJM_RTO,93580
12/30/2022 11:00,12/30/2022 6:00,MID_ATLANTIC_REGION,31599
12/30/2022 11:00,12/30/2022 6:00,WESTERN_REGION,42603
12/30/2022 11:00,12/30/2022 6:00,PJM_RTO,88688
12/30/2022 10:00,12/30/2022 5:00,MID_ATLANTIC_REGION,29023
12/30/2022 10:00,12/30/2022 5:00,WESTERN_REGION,39689
12/30/2022 10:00,12/30/2022 5:00,PJM_RTO,82234
12/30/2022 9:00,12/30/2022 4:00,MID_ATLANTIC_REGION,27397
12/30/2022 9:00,12/30/2022 4:00,WESTERN_REGION,38205
12/30/2022 9:00,12/30/2022 4:00,PJM_RTO,78450
12/30/2022 8:00,12/30/2022 3:00,MID_ATLANTIC_REGION,26483
12/30/2022 8:00,12/30/2022 3:00,WESTERN_REGION,37759
12/30/2022 8:00,12/30/2022 3:00,PJM_RTO,76737
12/30/2022 7:00,12/30/2022 2:00,MID_ATLANTIC_REGION,26288
12/30/2022 7:00,12/30/2022 2:00,WESTERN_REGION,36939
12/30/2022 7:00,12/30/2022 2:00,PJM_RTO,75564
